Date,Value
2026-05-28T18:09:32.079040,1100
2026-05-28T18:10:21.775115,1100
2026-05-28T18:11:05.675177,1100
2026-05-28T18:12:00.277885,1100
2026-05-29T13:28:30.275850,1100
2026-05-29T13:30:22.211216,1100
2026-05-29T13:31:19.951288,1100
2026-05-29T13:41:11.363003,1240
2026-05-29T13:42:03.856788,1240
2026-06-02T17:35:02.846007,1240
2026-06-02T17:35:37.132296,1240
2026-06-02T17:36:12.000999,1240
2026-06-02T17:36:56.357414,1240
2026-06-02T17:37:36.678456,1240
2026-06-02T17:38:14.774283,1240
2026-06-02T17:40:05.063726,1240
2026-06-02T17:41:04.555897,1240
2026-06-02T17:42:53.450738,1240
2026-06-02T17:44:10.536301,1240
2026-06-03T17:13:22.506987,1240
2026-06-03T17:13:59.885083,1240
2026-06-03T17:15:00.664416,1240
2026-06-03T17:17:42.529822,1240
2026-06-03T17:18:17.929709,1240
2026-06-03T17:19:08.441455,1240
2026-06-03T17:19:50.046093,1240
2026-06-03T17:20:24.959723,1240
2026-06-04T12:08:46.710180,1240
2026-06-04T12:09:27.769577,1240
2026-06-04T12:11:05.178860,1240
2026-06-04T12:11:55.525057,1240
2026-06-04T13:30:03.370904,1240
2026-06-05T09:10:06.135365,1240
2026-06-05T09:10:47.780033,1240
2026-06-05T09:46:38.440917,1240
2026-06-08T15:02:39.586199,1240
2026-06-08T15:04:03.263532,1240
2026-06-08T15:04:50.114843,1240
2026-06-08T15:11:21.158189,1240
2026-06-08T15:12:13.799927,1240
2026-06-10T16:58:30.532913,1240
2026-06-10T16:59:15.260283,1240
2026-06-10T16:59:55.310826,1240
2026-06-10T17:00:38.115290,1240
2026-06-10T17:01:26.075702,1240
2026-06-10T17:02:04.536624,1240
2026-06-10T17:03:23.948454,1240
2026-06-10T17:04:13.102359,1240
2026-06-10T17:35:58.717577,1240
2026-06-16T12:55:06.854973,1240
2026-06-16T12:55:46.752069,1240
2026-06-16T12:56:42.566543,1240
2026-06-17T09:45:15.200442,1240
2026-06-17T09:45:48.235101,1240
2026-06-17T09:46:34.846663,1240
2026-06-17T09:47:18.582302,1240
2026-06-17T09:47:56.587143,1240
2026-06-17T09:49:45.593507,1240
2026-06-17T09:59:04.960228,1240
2026-06-17T09:59:44.576087,1240
2026-06-17T10:01:00.791880,1240
2026-06-17T12:18:44.555605,1240
2026-06-18T16:32:59.805948,1240
2026-06-18T16:33:52.242840,1240
2026-06-18T16:34:31.460290,1240
2026-06-18T16:35:10.540160,1240
2026-06-18T16:35:43.959538,1240
2026-06-18T16:36:30.119928,1240
2026-06-18T16:58:02.968629,1240
2026-06-18T16:58:49.146038,1240
2026-06-18T17:04:22.488121,1240
2026-06-18T17:05:11.239987,1240
2026-06-18T17:05:55.507845,1240
2026-06-18T17:06:31.956518,1240
2026-06-18T17:07:04.734231,1240
2026-06-18T17:07:38.584937,1240
2026-06-18T17:08:02.603305,1240
2026-06-18T17:08:41.906080,1240
2026-06-18T17:09:30.708604,1240
2026-06-18T17:10:00.462212,1240
2026-06-18T17:10:25.592191,1240
2026-06-18T17:11:00.705627,1240
2026-06-18T17:11:34.406547,1240
2026-06-18T17:12:07.437649,1240
2026-06-18T17:12:30.903080,1240
2026-06-18T17:12:53.215550,1240
2026-06-18T17:13:19.025668,1240
2026-06-18T17:23:45.261122,1240
2026-06-18T17:38:47.303624,1240
2026-06-18T17:39:55.466764,1240
2026-06-18T17:40:21.100527,1240
2026-06-18T17:40:40.698431,1240
2026-06-18T17:40:57.331225,1240
2026-06-18T17:41:24.198006,1240
2026-06-18T17:42:39.007473,1240
2026-06-18T17:57:29.250958,1240
2026-06-18T17:58:00.692662,1240
2026-06-22T18:11:16.594619,1240
2026-06-22T18:11:59.099169,1240
2026-06-22T18:13:09.825584,1240
2026-06-22T18:15:06.751268,1240
2026-06-22T18:15:45.985912,1240
2026-06-22T18:16:29.613358,1240
2026-06-22T18:17:04.246546,1240
2026-06-22T18:18:05.844799,1240
2026-06-22T18:24:41.829184,1240
2026-06-22T18:25:23.056310,1240
2026-06-22T18:26:02.481051,1240
2026-06-22T18:26:42.882269,1240
2026-06-23T00:03:31.047318,1240
2026-06-23T00:04:25.649117,1240
2026-06-23T00:06:01.689570,1240
2026-06-23T00:06:45.356084,1240
2026-06-23T00:07:37.284851,1240
2026-06-23T00:08:14.226438,1240
2026-06-23T00:31:52.430556,1240
2026-06-23T00:32:38.360932,1240
2026-06-23T09:09:22.288112,1240
2026-06-23T09:10:00.329319,1240
2026-06-23T09:10:56.190238,1240
2026-06-23T09:11:46.108074,1240
2026-06-23T09:13:41.932528,1240
2026-06-23T09:14:17.754684,1240
2026-06-23T09:15:00.594787,1240
2026-06-24T16:19:34.431498,1240
2026-06-24T16:20:18.125122,1240
2026-06-24T16:21:45.721412,1240
2026-06-24T17:23:31.291202,1240
2026-06-25T11:57:09.031667,1240
2026-06-25T11:57:42.353449,1240
2026-06-25T12:06:57.647166,1240
2026-06-25T12:07:32.355029,1240
2026-06-25T12:09:14.204832,1240
2026-06-25T12:12:36.594923,1240
2026-06-25T12:14:27.847770,1240
2026-06-25T12:14:59.078239,1240
2026-06-25T12:15:41.153676,1240
2026-06-25T12:23:28.663624,1240
2026-06-25T12:24:16.501249,1240
2026-06-26T12:14:06.765996,1240
2026-06-26T12:19:14.305614,1240
2026-06-26T12:21:40.203644,1240
2026-06-26T12:28:55.157864,1240
2026-06-26T12:29:34.997230,1240
2026-06-26T12:30:16.004080,1240
2026-06-26T12:30:59.645486,1240
2026-06-26T12:31:45.904393,1240
2026-06-26T12:36:36.316357,1240
2026-06-26T12:37:31.239584,1240
2026-06-26T12:38:05.500406,1240
2026-06-26T12:43:32.246831,1240
2026-06-26T12:44:13.304624,1240
2026-06-29T14:18:10.554107,1240
2026-06-29T14:38:13.908352,1240
2026-06-29T14:38:53.705722,1240
2026-06-29T14:39:44.130809,1240
2026-06-29T14:40:26.676295,1240
2026-06-29T14:41:05.649601,1240
2026-06-29T14:42:07.514237,1240
